year,CO2 (ppmv),Temperature,Mean CH4,unc
-748653,,,408.0,
-748372,,-8.5,,
-748095,,,400.0,
-747864,190.17483689562673,,,
-747816,,-8.32,,
-747370,,,378.0,
-747312,188.67887489361217,,,
-747253,,-8.44,,
-746920,,,409.0,
-746692,,-8.6,,
-746386,187.54375693792414,,,
-746283,,,392.0,
-746141,,-8.69,,
-745990,187.95228432826852,,,
-745766,,,405.0,
-745570,,-8.63,,
-745227,187.91988159174213,,,
-745100,,,402.0,
-744997,,-8.62,,
-744669,190.24154927677864,,,
-744653,,,428.0,
-744425,,-8.56,,
-744055,,,415.0,
-743832,,-8.56,,
-743721,187.29232436787936,,,
-743522,,,432.0,
-743221,,-8.41,,
-742824,,,421.0,
-742595,,-8.67,,
-742573,188.96881973948896,,,
-742362,,,422.0,
-742009,188.17959977716015,,,
-741984,,-8.84,,
-741756,,,439.0,
-741375,,-8.95,,
-741257,,,422.0,
-741112,187.3271928405565,,,
-740757,,-8.6,,
-740694,188.64664196412704,,,
-740553,,,402.0,
-740136,,-8.47,,
-740121,,,409.0,
-739924,189.1426274551468,,,
-739515,,-8.25,,
-739473,,,388.0,
-739379,184.76708470912362,,,
-738918,,,414.0,
-738917,,-8.24,,
-738510,183.39253921478078,,,
-738344,,-8.08,,
-738262,,,411.0,
-738156,185.40236646163788,,,
-737860,,,403.0,
-737828,,-7.16,,
-737327,,-6.27,,
-737323,,,408.0,
-737224,185.6096600660596,,,
-736869,,,407.0,
-736849,,-5.62,,
-736630,191.7441063146352,,,
-736344,,-5.38,,
-736180,,,423.0,
-735872,,,508.0,
-735859,,-4.76,,
-735710,204.51910387695122,,,
-735404,,-4.52,,
-735336,,,542.0,
-735319,206.92018121563933,,,
-734973,,,561.0,
-734887,,-4.47,,
-734572,213.14402038614645,,,
-734463,,,546.0,
-734405,,-4.03,,
-734157,217.1944729687879,,,
-734107,,,541.0,
-733905,,-3.72,,
-733574,,,518.0,
-733459,217.88283774216444,,,
-733386,,-3.99,,
-733184,214.6624205315424,,,
-733151,,,531.0,
-732893,,-4.15,,
-732638,,,520.0,
-732512,216.1485998526368,,,
-732377,,-3.95,,
-732244,,,519.0,
-732072,210.60174265873587,,,
-731853,,-3.93,,
-731698,,,530.0,
-731378,207.72075200492253,,,
-731291,,-3.79,,
-731209,,,525.0,
-731043,208.1143039021245,,,
-730652,,-4.2,,
-730511,,,521.0,
-730371,213.73187878271673,,,
-730196,,,537.0,
-729996,,-4.85,,
-729910,211.62321092369945,,,
-729492,,,512.0,
-729381,,-5.28,,
-729234,210.70237305797798,,,
-729077,,,538.0,
-728958,210.16351745201928,,,
-728759,,-5.23,,
-728310,212.17164661528162,,,
-728293,,,545.0,
-728100,,-5.31,,
-727886,210.0149974521128,,,
-727804,,,551.0,
-727419,,-5.69,,
-727037,211.0778130948141,,,
-726923,,,530.0,
-726712,,-5.83,,
-726643,210.24197486380825,,,
-726503,,,559.0,
-725998,,-6.05,,
-725948,210.06750978548357,,,
-725757,,,531.0,
-725263,,-5.96,,
-725230,,,541.0,
-724626,211.42656926315465,,,
-724585,,-6.1,,
-724545,,,504.0,
-724299,211.07599555762198,,,
-723919,,,561.0,
-723852,,-5.07,,
-723524,211.49197634968232,,,
-723032,,-5.18,,
-723025,210.4806821716978,,,
-722970,,,478.0,
-722423,,,581.0,
-722283,,-5.75,,
-722191,214.0125927948141,,,
-721830,212.54540888381376,,,
-721738,,,560.0,
-721528,,-7.14,,
-721044,212.108071771009,,,
-721022,,,566.0,
-720584,,-8.32,,
-720555,216.09677010835378,,,
-719971,,,515.0,
-719739,218.956944794401,,,
-719693,,-8.77,,
-719457,219.2003556861584,,,
-719308,,,491.0,
-718814,,-7.9,,
-718640,217.04269113163494,,,
-718583,,,401.0,
-718137,212.030518626341,,,
-718051,,-7.13,,
-717692,,,408.0,
-717337,200.8234844705578,,,
-717197,,-6.92,,
-716828,193.46090298257135,,,
-716685,,,392.0,
-716428,,-6.47,,
-716013,,,403.0,
-716005,189.87843381686548,,,
-715675,,-6.23,,
-715398,198.42559568024177,,,
-715245,,,399.0,
-714910,,-5.59,,
-714635,210.50988746288758,,,
-714513,,,435.0,
-714360,213.59999290263295,,,
-714212,,-5.26,,
-713700,,,531.0,
-713615,227.5826981949172,,,
-713529,,-5.2,,
-713165,,,570.0,
-713165,223.14262795384457,,,
-712858,,-4.23,,
-712453,227.08319713303533,,,
-712239,,,577.0,
-712142,,-4.02,,
-712115,227.63734055505353,,,
-711788,,,593.0,
-711460,,-3.9,,
-711362,223.8856925917568,,,
-711060,,,597.0,
-710793,,-4.29,,
-710415,,,588.0,
-710293,224.00174372112798,,,
-710137,,-4.19,,
-710071,224.12344691621362,,,
-709619,,,573.0,
-709486,,-4.05,,
-709449,225.38896913374532,,,
-709033,224.9017352890244,,,
-709001,,,591.0,
