year,CO2 (ppmv),Temperature,Mean CH4,unc
-570228,,-1.79,,
-570051,,,604.0,
-570027,,-1.51,,
-570024,251.6,,,
-569830,,-1.69,,
-569683,249.6,,,
-569652,,,610.0,
-569635,,-1.44,,
-569440,,-1.38,,
-569311,251.8,,,
-569244,,-1.45,,
-569229,,,594.0,
-569051,,-1.49,,
-568912,251.8,,,
-568857,,-1.42,,
-568816,,,597.0,
-568662,,-1.48,,
-568513,251.3,,,
-568469,,-1.61,,
-568419,,,580.0,
-568278,,-1.5,,
-568117,250.0,,,
-568084,,-1.48,,
-567997,,,588.0,
-567895,,-1.64,,
-567733,251.3,,,
-567706,,-1.42,,
-567598,,,589.0,
-567524,,-1.47,,
-567364,250.2,,,
-567335,,-1.09,,
-567209,,,590.0,
-567143,,-1.49,,
-566980,253.0,,,
-566955,,-1.77,,
-566821,,,589.0,
-566766,,-1.51,,
-566584,252.8,,,
-566582,,-1.59,,
-566430,,,613.0,
-566396,,-1.38,,
-566254,253.9,,,
-566211,,-1.54,,
-566037,,,615.0,
-566019,,-1.44,,
-565934,253.2,,,
-565831,,-1.93,,
-565652,,-1.68,,
-565642,,,603.0,
-565598,254.5,,,
-565470,,-1.22,,
-565289,253.9,,,
-565281,,-1.42,,
-565268,,,620.0,
-565097,,-1.87,,
-564968,254.3,,,
-564907,,-1.44,,
-564889,,,626.0,
-564721,,-2.02,,
-564638,253.7,,,
-564534,,-1.8,,
-564501,,,618.0,
-564348,,-1.89,,
-564295,251.4,,,
-564164,,-1.84,,
-564108,,,627.0,
-563983,,-1.82,,
-563945,252.6,,,
-563795,,-1.63,,
-563735,,,577.0,
-563604,,-2.08,,
-563588,252.4,,,
-563415,,-2.27,,
-563335,,,589.0,
-563229,,-2.21,,
-563184,251.4,,,
-563044,,-2.07,,
-562959,,,581.0,
-562865,,-2.05,,
-562774,247.6,,,
-562677,,-2.58,,
-562572,,,579.0,
-562482,,-2.21,,
-562360,245.8,,,
-562288,,-2.49,,
-562185,,,550.0,
-562089,,-2.59,,
-561977,245.7,,,
-561891,,-2.87,,
-561781,,,554.0,
-561686,,-2.81,,
-561585,242.3,,,
-561483,,-3.22,,
-561394,,,529.0,
-561275,,-3.06,,
-561184,240.1,,,
-561065,,-3.33,,
-560969,,,532.0,
-560849,,-3.4,,
-560705,234.1,,,
-560632,,-3.66,,
-560549,,,495.0,
-560407,,-3.7,,
-560360,234.6,,,
-560180,,-4.0,,
-560138,,,497.0,
-559939,,-4.07,,
-559938,231.9,,,
-559699,,-4.64,,
-559692,,,486.0,
-559500,231.6,,,
-559454,,-4.49,,
-559453,,,484.0,
-559199,,-4.65,,
-559015,228.3,,,
-558972,,,464.0,
-558940,,-5.0,,
-558675,,-5.21,,
-558500,,,511.0,
-558486,230.3,,,
-558402,,-5.43,,
-558291,,,516.0,
-558127,,-5.48,,
-557922,230.2,,,
-557828,,-5.75,,
-557811,,,501.0,
-557686,229.7,,,
-557511,,-6.48,,
-557366,234.5,,,
-557290,,,492.0,
-557183,,-6.77,,
-556873,,-6.86,,
-556827,238.1,,,
-556745,,,468.0,
-556564,,-6.15,,
-556356,240.4,,,
-556264,,-5.66,,
-556227,,,443.0,
-556204,245.6,,,
-555961,,-5.49,,
-555888,250.5,,,
-555723,,,443.0,
-555707,244.0,,,
-555666,,-5.38,,
-555435,249.1,,,
-555358,,-4.95,,
-555248,243.0,,,
-555223,,,496.0,
-555063,,-5.07,,
-554973,241.0,,,
-554778,,,531.0,
-554769,,-4.41,,
-554461,,-4.21,,
-554457,233.9,,,
-554176,,-4.67,,
-554168,,,575.0,
-553894,,-3.25,,
-553892,226.7,,,
-553664,,,578.0,
-553613,,-3.09,,
-553315,,-3.35,,
-553208,224.3,,,
-553173,,,557.0,
-552998,,-4.04,,
-552654,,-4.52,,
-552630,,,519.0,
-552529,223.6,,,
-552300,,-4.68,,
-552016,,,501.0,
-551924,,-5.07,,
-551858,220.3,,,
-551669,222.1,,,
-551531,,-5.42,,
-551369,,,471.0,
-551295,226.3,,,
-551097,,-6.23,,
-551070,222.3,,,
-550731,221.7,,,
-550730,,,431.0,
-550657,,-6.29,,
-550370,,,443.0,
-550179,,-6.94,,
-550161,219.9,,,
-549988,,,491.0,
-549723,,-6.48,,
-549431,215.2,,,
-549258,,-6.28,,
-549147,,,477.0,
-548811,,-5.58,,
-548632,213.6,,,
-548372,,-5.35,,
-548353,,,472.0,
-548280,208.8,,,
-547905,,-6.14,,
-547770,202.5,,,
-547504,,,456.0,
-547398,,-6.81,,
-546868,,-7.2,,
-546820,204.6,,,
-546587,,,434.0,
-546330,,-7.17,,
-545856,209.7,,,
-545796,,-6.82,,
-545584,,,390.0,
-545252,,-7.17,,
-544880,209.6,,,
-544707,,,409.0,
-544654,,-7.91,,
-544035,,-8.14,,
-543914,210.3,,,
-543499,,,418.0,
-543417,,-8.12,,
-542935,208.1,,,
-542808,,-8.13,,
-542398,,,427.0,
-542199,,-7.64,,
-541894,203.6,,,
-541604,,-7.35,,
-541241,,,405.0,
-541014,,-7.24,,
-540790,205.0,,,
-540431,,-7.1,,
-540030,,,408.0,
-539838,,-7.28,,
-539703,211.2,,,
-539238,,-7.43,,
-538846,,,391.0,
-538639,,-7.55,,
-538633,212.9,,,
-538041,,-7.46,,
-537669,,,400.0,
-537563,206.4,,,
-537441,,-7.56,,
-536985,,,415.0,
-536834,,-7.77,,
-536490,205.0,,,
-536460,,,448.0,
-536244,,-7.53,,
-535779,,,467.0,
-535702,,-6.47,,
-535384,199.4,,,
-535288,,,497.0,
-535163,,-6.76,,
-534625,,-6.82,,
-534228,199.8,,,
-534188,,,490.0,
-534094,,-6.76,,
-533745,190.5,,,
-533558,,-6.99,,
-533093,193.8,,,
-533044,,-6.64,,
-532968,,,449.0,
-532718,195.1,,,
-532509,,-7.2,,
-531982,200.0,,,
-531976,,-7.24,,
-531901,,,458.0,
-531604,204.4,,,
-531425,,-7.71,,
-531037,211.4,,,
-530891,,-7.48,,
-530766,,,422.0,
-530642,214.5,,,
-530352,,-7.71,,
-530128,220.7,,,
-529845,,-7.12,,
-529680,,,420.0,
-529334,,-7.33,,
-529251,220.3,,,
-528854,,-6.75,,
-528619,,,450.0,
-528407,,-6.07,,
-528340,221.2,,,
-527989,,-5.43,,
-527624,,,441.0,
-527584,,-5.18,,
-527453,222.7,,,
-527207,,-4.5,,
-526833,,-4.44,,
-526751,,,464.0,
-526566,224.7,,,
-526472,,-4.14,,
-526244,,,520.0,
-526106,,-4.31,,
-525928,,,518.0,
-525748,227.8,,,
-525733,,-4.58,,
-525349,,-4.9,,
-525140,,,529.0,
-524985,,-4.42,,
-524945,230.3,,,
-524609,,-4.82,,
-524364,,,541.0,
-524234,,-4.86,,
-524156,233.7,,,
-523858,,-4.93,,
-523635,,,538.0,
-523502,,-4.64,,
-523387,235.8,,,
-523149,,-4.35,,
-522873,,,534.0,
-522778,,-4.84,,
-522620,236.8,,,
-522425,,-4.29,,
-522128,,,518.0,
-522072,,-4.51,,
-521851,241.9,,,
-521725,,-4.3,,
-521371,,-4.61,,
-521367,,,534.0,
-521019,,-4.55,,
-520660,,-4.84,,
-520640,,,516.0,
-520340,,-3.58,,
-520028,,-3.4,,
-519955,,,535.0,
-519714,,-3.47,,
-519624,243.5,,,
-519403,,-3.4,,
-519311,,,522.0,
-519077,,-3.94,,
-518871,245.5,,,
-518776,,-3.12,,
-518647,,,524.0,
-518466,,-3.45,,
-518161,,-3.75,,
-518123,247.7,,,
-517854,,-3.41,,
-517545,,-3.48,,
-517379,245.3,,,
-517243,,-3.23,,
-516935,,-3.45,,
-516722,,,499.0,
-516650,245.5,,,
-516628,,-3.47,,
-516317,,-3.59,,
-516095,,,512.0,
-516010,,-3.46,,
-515926,246.2,,,
-515687,,-4.01,,
-515467,,,507.0,
-515379,,-3.51,,
-515204,247.2,,,
-515048,,-4.28,,
-514822,,,508.0,
-514716,,-4.31,,
-514470,243.0,,,
-514454,,,501.0,
-514379,,-4.48,,
-514179,,,477.0,
-514056,,-4.01,,
-513808,,,483.0,
-513731,,-4.08,,
-513700,241.5,,,
-513545,,,519.0,
-513393,,-4.46,,
-513039,,-4.98,,
-512897,239.2,,,
-512855,,,507.0,
-512683,,-5.0,,
-512332,,-4.84,,
-512168,,,496.0,
-512083,238.2,,,
-511983,,-4.77,,
-511613,,-5.38,,
-511447,,,488.0,
-511254,242.0,,,
-511235,,-5.62,,
-510859,,-5.49,,
-510717,,,486.0,
-510482,,-5.53,,
-510413,235.2,,,
-510099,,-5.63,,
-509976,,,487.0,
-509708,,-5.86,,
-509562,236.4,,,
-509317,,-5.83,,
-509240,,,495.0,
-508926,,-5.76,,
-508702,233.4,,,
-508537,,-5.67,,
-508492,,,520.0,
-508150,,-5.55,,
-507834,240.3,,,
-507754,,-5.78,,
-507715,,,533.0,
-507358,,-5.73,,
-506990,237.0,,,
-506957,,,557.0,
-506952,,-5.94,,
-506543,,-6.0,,
-506170,,-4.9,,
-506167,238.2,,,
-506165,,,582.0,
-505808,,-4.55,,
-505450,,,573.0,
-505446,,-4.52,,
-505362,236.0,,,
-505077,,-4.63,,
-504742,,,601.0,
-504704,,-4.7,,
-504533,235.5,,,
-504321,,-4.91,,
-503999,,,579.0,
-503925,,-5.21,,
-503734,233.9,,,
-503524,,-5.32,,
-503205,,,524.0,
-503130,,-5.04,,
-502961,234.1,,,
-502758,,-4.4,,
-502530,,,566.0,
-502396,,-4.0,,
-502227,232.2,,,
-502018,,-4.46,,
-501855,,,549.0,
-501646,,-4.21,,
-501468,232.0,,,
-501267,,-4.37,,
-501088,,,515.0,
-500882,,-4.45,,
-500687,231.2,,,
-500496,,-4.43,,
-500299,,,517.0,
-500117,,-4.16,,
-499911,230.8,,,
-499713,,-4.81,,
-499621,,,522.0,
-499319,,-4.45,,
-499133,228.2,,,
-498925,,-4.41,,
-498827,,,512.0,
-498532,,-4.31,,
-498354,230.8,,,
-498140,,-4.25,,
-498068,,,496.0,
-497744,,-4.3,,
-497576,230.6,,,
-497366,,-3.72,,
-497326,,,499.0,
-496984,,-3.77,,
-496787,232.8,,,
-496595,,-3.93,,
-496577,,,509.0,
-496207,,-3.83,,
-496015,236.5,,,
-495823,,,506.0,
-495812,,-3.97,,
-495426,,-3.66,,
-495237,236.4,,,
-495060,,,516.0,
-495028,,-3.97,,
-494634,,-3.78,,
-494494,237.6,,,
-494322,,,522.0,
-494240,,-3.74,,
-493850,,-3.58,,
-493775,238.5,,,
-493563,,,514.0,
-493451,,-3.79,,
-493074,238.3,,,
-493051,,-3.78,,
-492788,,,496.0,
-492650,,-3.78,,
-492350,239.1,,,
-492258,,-3.75,,
-491993,,,517.0,
-491852,,-3.93,,
-491643,239.7,,,
-491466,,-3.23,,
-491212,,,500.0,
-491072,,-3.5,,
-490913,243.7,,,
-490678,,-3.42,,
-490438,,,501.0,
-490284,,-3.42,,
-490204,246.7,,,
-489895,,-3.25,,
-489656,,,534.0,
-489506,,-3.25,,
-489501,243.3,,,
-489126,,-3.03,,
-488880,,,584.0,
-488783,242.6,,,
-488751,,-2.81,,
-488544,249.3,,,
-488388,,-2.44,,
-488165,,,558.0,
-488076,252.8,,,
-488028,,-2.31,,
-487769,240.9,,,
-487670,,-2.25,,
-487434,,,588.0,
-487352,242.0,,,
-487306,,-2.39,,
-486939,,-2.51,,
-486693,,,624.0,
-486615,237.1,,,
-486605,,-1.36,,
-486235,,-2.57,,
-485983,,,615.0,
-485898,231.3,,,
-485867,,-2.4,,
-485494,,-2.56,,
-485270,,,583.0,
-485179,232.9,,,
-485112,,-2.75,,
-484729,,-2.76,,
-484505,,,583.0,
-484448,233.0,,,
-484329,,-3.22,,
-483920,,-3.42,,
-483767,,,569.0,
-483717,231.2,,,
-483512,,-3.39,,
-483101,,-3.44,,
-482986,231.4,,,
-482970,,,543.0,
-482685,,-3.54,,
-482275,,-3.36,,
-482229,231.4,,,
-482156,,,544.0,
-481848,,-3.76,,
-481445,227.3,,,
-481421,,-3.74,,
-481327,,,516.0,
-480978,,-4.15,,
-480630,223.4,,,
-480539,,-3.97,,
-480458,,,507.0,
-480085,,-4.34,,
-479712,223.8,,,
-479621,,-4.53,,
-479602,,,504.0,
-479131,,-4.94,,
-478776,218.8,,,
-478687,,,492.0,
-478655,,-4.76,,
-478378,220.8,,,
-478169,,-4.95,,
-478135,,,504.0,
-477825,231.3,,,
-477760,,,531.0,
-477673,,-5.15,,
-477452,236.5,,,
-477149,,-5.73,,
-476942,239.1,,,
-476752,,,496.0,
-476612,,-5.98,,
-476112,,-5.19,,
-475991,236.6,,,
-475725,,,528.0,
-475636,,-4.64,,
-475188,,-3.95,,
-474999,232.8,,,
-474822,,,517.0,
-474729,,-4.19,,
-474250,,-4.61,,
-473975,233.1,,,
-473834,,,504.0,
-473746,,-5.09,,
-473210,,-5.75,,
-473024,241.2,,,
-472782,,,475.0,
-472626,,-6.89,,
-472142,245.6,,,
-472020,,-7.01,,
-471850,243.9,,,
-471724,,,456.0,
-471459,,-6.17,,
-471267,243.7,,,
-470930,,-5.5,,
-470913,232.7,,,
-470676,,,440.0,
-470442,,-4.62,,
-470313,229.2,,,
-469984,,-4.0,,
-469874,218.7,,,
-469662,,,482.0,
-469485,,-4.83,,
-469250,215.5,,,
-468966,,-5.18,,
-468775,206.5,,,
-468523,,,482.0,
-468387,,-6.3,,
-468090,205.5,,,
-467756,,-7.26,,
-467473,,,443.0,
-467165,,-6.47,,
-466927,203.4,,,
-466511,,-7.58,,
-466430,,,430.0,
-465790,,-8.64,,
-465756,204.4,,,
-465727,,,491.0,
-465120,,,491.0,
-465108,,-8.03,,
-464682,208.1,,,
-464417,,-8.17,,
-463719,,,442.0,
-463707,,-8.5,,
-463651,210.0,,,
-463315,205.2,,,
-463001,,-8.44,,
-462649,199.9,,,
-462307,,-8.08,,
-462300,,,448.0,
-461670,,-7.65,,
-461576,194.4,,,
-461020,,-7.63,,
-460897,,,491.0,
-460464,190.7,,,
-460400,,-7.15,,
-460140,,,463.0,
-459763,,-7.45,,
-459597,,,521.0,
-459336,195.5,,,
-459081,,-8.24,,
-458767,,,424.0,
-458394,,-8.34,,
-458302,202.4,,,
-458210,,,409.0,
-457702,,-8.47,,
-457261,208.3,,,
-456992,,-8.8,,
-456941,,,398.0,
-456844,203.3,,,
-456266,,-8.83,,
-456258,204.3,,,
-455795,199.1,,,
-455569,,-8.7,,
-455474,,,408.0,
-455164,192.5,,,
-454863,,-8.92,,
-454206,,-8.21,,
-454061,,,412.0,
-454051,193.3,,,
-453600,,-7.39,,
-453290,,,434.0,
-453019,,-7.01,,
-452914,198.4,,,
-452736,,,468.0,
-452450,,-6.81,,
-451942,,,486.0,
-451866,,-6.34,,
-451825,201.9,,,
-451474,,,426.0,
-451279,,-7.24,,
-450785,204.9,,,
-450663,,-7.89,,
-450249,,,403.0,
-450092,,-7.07,,
-449797,201.2,,,
-449542,,-6.7,,
-449151,,,384.0,
-448931,,-7.92,,
-448692,201.7,,,
-448338,,-7.65,,
-447962,,,381.0,
-447769,,-7.26,,
-447621,208.1,,,
-447201,,-7.28,,
-446738,,,389.0,
-446623,,-7.58,,
-446509,203.5,,,
-446097,,-6.56,,
-445664,,,427.0,
-445586,,-6.32,,
-445269,201.1,,,
-445084,,-6.15,,
-444981,,,506.0,
-444629,,,474.0,
-444521,,-7.48,,
-443950,,-7.65,,
-443812,,,452.0,
-443392,,-7.45,,
-443381,199.1,,,
-443273,,,409.0,
-442835,,-7.45,,
-442632,,,427.0,
-442266,,-7.77,,
-442236,,,491.0,
-441894,202.0,,,
-441732,,-7.15,,
-441583,,,439.0,
-441170,,-7.91,,
-441117,,,439.0,
-440585,,-8.42,,
-440280,201.3,,,
-440004,,-8.33,,
-439926,,,438.0,
-439438,,-8.73,,
-438848,,-9.07,,
-438720,,,400.0,
-438709,201.7,,,
-438256,,-9.04,,
-438146,,,405.0,
-437675,,-9.15,,
-437113,200.3,,,
-437089,,-9.19,,
-436481,,,392.0,
-436473,,-8.8,,
-435877,,-9.6,,
-435708,,,395.0,
-435535,207.5,,,
-435317,,-9.25,,
-434776,,-9.63,,
-434513,,,385.0,
-434191,,-8.91,,
-433989,209.8,,,
-433642,,-8.03,,
-433365,,,381.0,
-433073,,-8.49,,
-432522,,-8.17,,
-432429,207.6,,,
-432152,,,381.0,
-432019,,-8.58,,
-431900,211.5,,,
-431475,,-8.12,,
-431120,,,392.0,
-430920,,-8.39,,
-430376,,-8.19,,
-430229,227.2,,,
-429964,,,389.0,
-429817,,-8.19,,
-429276,,-8.19,,
-429244,,,394.0,
-429073,219.7,,,
-428848,,,385.0,
-428743,,-8.1,,
-428237,,-7.58,,
-428083,,,380.0,
-427839,,,382.0,
-427768,,-6.79,,
-427309,,-6.61,,
-427228,242.5,,,
-427183,,,406.0,
-426918,,-6.05,,
-426890,248.2,,,
-426829,,,472.0,
-426494,,-5.83,,
-426115,,-4.63,,
-425991,252.1,,,
-425901,,,418.0,
-425734,,-4.7,,
-425435,,,412.0,
-425393,,-3.95,,
-425204,255.3,,,
-425132,,,465.0,
-425070,,-2.93,,
-424765,,-2.29,,
-424671,265.4,,,
-424663,,,459.0,
-424447,,,463.0,
-424440,,-2.67,,
-424287,270.0,,,
-424140,,-2.13,,
-424077,,,457.0,
-423863,,-1.85,,
-423790,270.8,,,
-423663,,,508.0,
-423587,,-1.9,,
-423327,,-0.99,,
-423279,,,503.0,
-423224,,,498.0,
-423182,268.3,,,
-423077,,-0.29,,
-423017,,,584.0,
-422934,,,605.0,
-422834,,0.09,,
-422766,,,618.0,
-422586,,-0.24,,
-422557,267.7,,,
-422458,,,604.0,
-422313,,-1.29,,
-422266,,,598.0,
-422013,,-2.34,,
-421876,,,622.0,
-421719,,-2.1,,
-421409,,-2.59,,
-421401,,,649.0,
-421275,270.6,,,
-421106,,-2.21,,
-421069,,,660.0,
-420818,,-1.51,,
-420596,,,689.0,
-420582,266.4,,,
-420525,,-1.55,,
-420221,,-1.87,,
-420207,,,672.0,
-420031,,,689.0,
-419962,268.6,,,
-419921,,-1.72,,
-419632,,-1.43,,
-419615,,,684.0,
-419406,,,703.0,
-419340,,-1.37,,
-419063,,-0.75,,
-418792,,,699.0,
-418791,,-0.59,,
-418751,273.8,,,
-418524,,-0.29,,
-418496,,,678.0,
-418291,,,695.0,
-418253,,-0.48,,
-418183,271.2,,,
-417979,,-0.62,,
-417926,,,674.0,
-417725,,,687.0,
-417716,,-0.09,,
-417625,273.7,,,
-417448,,-0.35,,
-417416,,,665.0,
-417183,,-0.24,,
-416940,,,655.0,
-416939,,-0.32,,
-416674,,-0.28,,
-416672,,,660.0,
-416555,274.6,,,
-416414,,0.01,,
-416366,,,658.0,
-416156,,0.08,,
-416155,,,635.0,
-416006,271.8,,,
-415910,,0.61,,
-415813,,,668.0,
-415658,,0.32,,
-415618,,,647.0,
-415490,273.4,,,
-415408,,0.38,,
-415307,,,671.0,
-415168,,0.83,,
-415132,,,634.0,
-414924,,0.67,,
-414674,,0.33,,
-414621,,,633.0,
-414475,271.7,,,
-414430,,0.63,,
-414310,,,630.0,
-414175,,0.1,,
-414087,,,623.0,
-413995,276.4,,,
-413925,,0.31,,
-413835,,,620.0,
-413676,,0.31,,
-413618,,,639.0,
-413434,,0.61,,
-413229,271.6,,,
-413182,,0.12,,
-413132,,,638.0,
-412932,,0.17,,
-412689,,0.43,,
-412626,,,677.0,
-412442,,0.26,,
-412260,264.9,,,
-412189,,-0.08,,
-412082,,,696.0,
-411952,,0.57,,
-411719,,0.68,,
-411611,,,690.0,
-411482,,0.23,,
-411308,274.9,,,
-411248,,0.48,,
-411117,,,656.0,
-411027,,0.66,,
-410789,,0.08,,
-410632,,,659.0,
-410557,,0.43,,
-410327,,0.49,,
-410112,,,712.0,
-410096,,0.44,,
-409867,,0.72,,
-409661,,,700.0,
-409655,,0.95,,
-409452,,1.64,,
-409397,283.5,,,
-409244,,1.37,,
-409221,,,694.0,
-409036,,1.47,,
-408828,,1.72,,
-408789,,,701.0,
-408627,,1.47,,
-408503,282.6,,,
-408424,,1.72,,
-408357,,,713.0,
-408224,,1.58,,
-408030,,1.57,,
-407920,,,710.0,
-407831,,1.73,,
-407648,274.7,,,
-407638,,1.8,,
-407524,,,699.0,
-407452,,2.13,,
-407267,,1.73,,
-407115,,,714.0,
-407078,,2.21,,
-406899,,2.09,,
-406868,284.5,,,
-406740,,,711.0,
-406719,,1.83,,
-406533,,1.77,,
-406360,,,695.0,
-406342,,1.99,,
-406155,,2.17,,
-405972,,2.67,,
-405959,,,681.0,
-405796,,2.45,,
-405617,,2.06,,
-405594,,,710.0,
-405434,,2.9,,
-405332,285.6,,,
-405265,,2.19,,
-405222,,,736.0,
-405081,,2.9,,
-404910,,3.15,,
-404873,,,691.0,
-404740,,2.27,,
-404592,279.6,,,
-404558,,2.44,,
-404503,,,672.0,
-404380,,1.79,,
-404192,,2.22,,
-404119,,,708.0,
-404012,,2.71,,
-403840,,2.65,,
-403778,,,700.0,
-403667,,2.49,,
-403491,,2.41,,
-403418,,,659.0,
-403314,,1.56,,
-403130,,2.22,,
-403112,280.5,,,
-403059,,,663.0,
-402950,,1.78,,
-402764,,1.88,,
-402715,,,661.0,
-402579,,2.1,,
-402398,,2.41,,
-402363,276.5,,,
-402304,,,674.0,
-402221,,1.64,,
-402034,,1.9,,
-401951,,,664.0,
-401853,,2.2,,
-401674,,2.01,,
-401602,,,681.0,
-401494,,2.27,,
-401317,,2.12,,
-401229,,,653.0,
-401138,,2.62,,
-400967,,2.2,,
-400909,275.7,,,
-400866,,,640.0,
-400791,,2.14,,
-400613,,1.79,,
-400505,,,642.0,
-400430,,1.49,,
-400242,,2.18,,
-400190,283.1,,,
-400140,,,646.0,
-400065,,1.58,,
-399880,,1.57,,
-399759,,,633.0,
-399694,,1.63,,
-399510,,1.62,,
-399386,,,627.0,
-399326,,1.78,,
-399144,,0.98,,
-399029,,,628.0,
-398951,,0.83,,
-398760,283.2,,,
-398754,,1.15,,
-398642,,,662.0,
-398564,,1.6,,
-398382,,1.16,,
-398254,,,607.0,
-398193,,0.7,,
-397996,,0.51,,
-397976,277.1,,,
-397858,,,607.0,
-397796,,0.39,,
-397593,,0.31,,
-397465,,,580.0,
-397390,,-0.07,,
-397181,,0.64,,
-397070,,,593.0,
-396985,,0.36,,
-396785,,0.47,,
-396645,,,608.0,
-396587,,-0.57,,
-396369,,-0.94,,
-396325,276.3,,,
-396225,,,612.0,
-396145,,-0.22,,
-395935,,-0.2,,
-395811,,,600.0,
-395726,,0.29,,
-395526,,-0.28,,
-395389,,,605.0,
-395317,,-0.25,,
-395108,,-0.45,,
-394964,,,590.0,
-394895,,-0.4,,
-394684,,-0.93,,
-394574,,,602.0,
-394463,,-0.95,,
-394242,,-1.23,,
-394107,,,594.0,
-394015,,-1.31,,
-393787,,-1.71,,
-393604,,,603.0,
-393551,,-0.98,,
-393330,,-1.12,,
-393178,,,585.0,
-393107,,-2.1,,
-392956,260.7,,,
-392864,,-2.3,,
-392727,,,594.0,
-392618,,-2.0,,
-392377,,-2.43,,
-392246,,,550.0,
-392129,,-2.37,,
-392053,273.6,,,
-391881,,-2.61,,
-391749,,,562.0,
-391630,,-2.78,,
-391374,,-3.32,,
-391243,,,485.0,
-391107,,-3.33,,
-391027,259.5,,,
-390840,,-3.67,,
-390716,,,498.0,
-390564,,-4.03,,
-390337,258.1,,,
-390281,,-4.26,,
-390195,,,489.0,
-389992,,-4.65,,
-389694,,-4.7,,
-389582,,,488.0,
-389395,,-4.96,,
-389090,,-4.73,,
-389025,,,506.0,
-388792,,-4.68,,
-388497,,-5.35,,
-388440,,,525.0,
-388185,,-5.98,,
-387854,,-5.8,,
-387821,,,568.0,
-387530,,-6.48,,
-387460,245.8,,,
-387187,,-6.7,,
-387165,,,472.0,
-386838,,-5.86,,
-386517,,-5.99,,
-386472,,,452.0,
-386193,,-5.37,,
-385889,,-5.35,,
-385874,246.8,,,
-385818,,,463.0,
-385587,,-4.74,,
-385302,,-4.56,,
-385228,,,531.0,
-385026,,-3.88,,
-384766,,-2.67,,
-384665,,,637.0,
-384519,,-3.29,,
-384333,239.1,,,
-384257,,-4.32,,
-384080,,,594.0,
-383992,,-4.31,,
-383723,,-4.93,,
-383502,,,577.0,
-383439,,-4.88,,
-383157,,-4.36,,
-382907,,,553.0,
-382888,,-5.18,,
-382607,240.0,,,
-382599,,-5.37,,
-382341,,,561.0,
-382305,,-5.63,,
-382005,,-6.06,,
-381763,,,536.0,
-381694,,-5.87,,
-381391,,-5.97,,
-381175,,,482.0,
-381085,,-5.09,,
-380981,227.0,,,
-380803,,-5.24,,
-380597,,,587.0,
-380518,,-5.15,,
-380227,,-4.52,,
-380005,,,601.0,
-379961,,-3.76,,
-379694,,-4.6,,
-379473,,,548.0,
-379429,,-4.42,,
-379168,,-4.92,,
-378913,,,544.0,
-378896,,-5.02,,
-378621,,-5.28,,
-378340,,-4.97,,
-378306,,,548.0,
-378068,,-4.91,,
-377798,,-5.44,,
-377757,,,485.0,
-377515,,-5.76,,
-377224,,-5.81,,
-377169,,,494.0,
-376932,,-5.93,,
-376810,229.6,,,
-376638,,-6.35,,
-376332,,-6.85,,
-376014,,-6.2,,
-375720,,-6.5,,
-375414,,-6.46,,
-375380,,,442.0,
-375112,,-6.67,,
-375084,224.6,,,
-374803,,-6.46,,
-374756,,,445.0,
-374500,,-7.01,,
-374182,,-7.22,,
-374156,,,433.0,
-373859,,-7.26,,
-373536,,-7.45,,
-373501,,,426.0,
-373254,214.7,,,
-373208,,-7.66,,
-372875,,-7.78,,
-372835,,,426.0,
-372539,,-7.94,,
-372200,,-6.86,,
-372142,,,445.0,
-371894,,-6.49,,
-371600,,-6.16,,
-371517,,,451.0,
-371507,199.9,,,
-371316,,-5.9,,
-371039,,-5.42,,
-370943,,,540.0,
-370775,,-4.96,,
-370521,,-5.7,,
-370378,,,523.0,
-370252,,-6.11,,
-369971,,-6.44,,
-369813,,,502.0,
-369682,,-6.39,,
-369435,201.9,,,
-369395,,-6.46,,
-369184,,,491.0,
-369106,,-6.49,,
-368818,,-6.17,,
-368547,,,508.0,
-368537,,-7.06,,
-368233,,-7.04,,
-367967,,,518.0,
-367931,,-6.77,,
-367636,,-7.36,,
-367374,,,444.0,
-367325,,-7.4,,
-367013,,-7.82,,
-366788,,,422.0,
-366690,,-8.29,,
-366353,,-7.64,,
-366124,,,422.0,
-366115,206.3,,,
-366042,,-7.38,,
-365738,,-6.73,,
-365481,,,460.0,
-365438,,-7.18,,
-365134,,-7.5,,
-364900,,,403.0,
-364823,,-7.8,,
-364505,,-7.46,,
-364256,,,416.0,
-364196,,-7.55,,
-363886,,-7.58,,
-363627,,,460.0,
-363575,,-7.23,,
-363273,,-7.36,,
-363240,201.2,,,
-362992,,,416.0,
-362969,,-8.19,,
-362642,,-8.14,,
-362319,,,449.0,
-362313,,-7.46,,
-362008,,-7.2,,
-361710,,-7.55,,
-361699,,,413.0,
-361404,,-7.11,,
-361110,,-6.07,,
-361093,,,487.0,
-360815,,-7.07,,
-360617,185.8,,,
-360523,,-8.26,,
-360491,,,433.0,
-360200,,-7.61,,
-359892,,,466.0,
-359885,,-7.4,,
-359584,,-7.89,,
-359272,,,420.0,
-359272,,-8.39,,
-358942,,-7.69,,
-358733,186.1,,,
-358634,,-8.74,,
-358563,,,415.0,
-358298,,-7.84,,
-357980,,-8.6,,
-357913,,,456.0,
-357648,,-7.84,,
-357331,,-8.7,,
-357252,,,418.0,
-357060,193.0,,,
-356997,,-8.52,,
-356663,,-8.41,,
-356624,,,417.0,
-356332,,-8.8,,
-355985,,-8.99,,
-355907,,,431.0,
-355647,,-8.94,,
-355308,,-8.7,,
-355244,,,435.0,
